__id,countryName,iso3166Alpha2Code,iso3166Alpha3Code,m49code,wbCountryCode,wbIncomeLevelCode,wbIncomeLevelName,wbLendingTypeCode,wbLendingTypeName,wbRegion,wbRegionCode,responseDate,roundId,extendedBreakCode,educationStatusCode,educationStatusPrePrimaryCode,educationStatusPrimaryCode,educationStatusLowerSecondaryCode,educationStatusUpperSecondaryCode,educationStatusHigherCode,educationStatusVocationalCode,vaccineAvailabilityForTeachersCode,inPersonAdditionalSupportPrePrimary,inPersonAdditionalSupportPrimary,inPersonAdditionalSupportLowerSecondary,inPersonAdditionalSupportUpperSecondary,remoteEducationModalitiesPrePrimaryCode,remoteEducationModalitiesPrimaryCode,remoteEducationModalitiesLowerSecondaryCode,remoteEducationModalitiesUpperSecondaryCode,remoteEducationModalitiesHigherCode,remoteEducationModalitiesVocationalCode,inPersonPrioritizationCategoriesCode,inPersonPrioritizationGradeLevelCode,inPersonPrioritizationStudentNeedCode,inPersonPrioritizationGeographyCode,inPersonLearningCoveragePrePrimaryCode,inPersonLearningCoveragePrimaryCode,inPersonLearningCoverageLowerSecondaryCode,inPersonLearningCoverageUpperSecondaryCode,inPersonLearningCoverageHigherCode,inPersonLearningCoverageVocationalCode
recJ7MPgiSwonKfnX,American Samoa,AS,ASM,16,ASM,UMC,Upper middle income,LNX,Not classified,East Asia and Pacific,EAP,2021-11-21,20,2,4,4,4,4,4,5,5,6,8,8,8,8,,,,,,,5,,,,2,2,2,2,5,5
recPr7J7S1J5uN1Er,American Samoa,AS,ASM,16,ASM,UMC,Upper middle income,LNX,Not classified,East Asia and Pacific,EAP,2021-12-06,21,2,4,4,4,4,4,5,5,6,8,8,8,8,,,,,,,5,,,,2,2,2,2,5,5
rec5Jxg2WPmXfoZmQ,American Samoa,AS,ASM,16,ASM,UMC,Upper middle income,LNX,Not classified,East Asia and Pacific,EAP,2021-12-19,22,2,4,4,4,4,4,5,5,6,8,8,8,8,,,,,,,5,,,,2,2,2,2,5,5
recz0EOVvw2xVh2if,American Samoa,AS,ASM,16,ASM,UMC,Upper middle income,LNX,Not classified,East Asia and Pacific,EAP,2022-01-07,23,2,4,4,4,4,4,5,5,6,8,8,8,8,,,,,,,5,,,,2,2,2,2,5,5
receSogrOb9KK8UVR,American Samoa,AS,ASM,16,ASM,UMC,Upper middle income,LNX,Not classified,East Asia and Pacific,EAP,2022-01-20,24,2,4,4,4,4,4,5,5,6,8,8,8,8,,,,,,,5,,,,2,2,2,2,5,5
rec04U4EIY7L8gbkb,American Samoa,AS,ASM,16,ASM,UMC,Upper middle income,LNX,Not classified,East Asia and Pacific,EAP,2022-02-03,25,2,4,4,4,4,4,4,4,6,8,8,8,8,,,,,,,5,,,,2,2,2,2,2,2
reck2nmHFx6andqdj,Andorra,AD,AND,20,AND,HIC,High income,LNX,Not classified,Europe and Central Asia,ECA,2021-03-03,2,2,"3,4",,,,,,,2,8,8,8,8,7,7,1,1,1,1,5,,,,1,1,2,2,2,2
recZ6bk7gfmhNqnqi,Andorra,AD,AND,20,AND,HIC,High income,LNX,Not classified,Europe and Central Asia,ECA,2021-03-14,3,2,4,,,,,,,4,8,8,8,8,,,,,,,5,,,,1,1,1,1,1,1
recsjsjneSpXE2KGA,Andorra,AD,AND,20,AND,HIC,High income,LNX,Not classified,Europe and Central Asia,ECA,2021-03-28,4,2,4,,,,,,,2,8,8,8,8,,,,,,,5,,,,1,1,1,1,1,1
recXCYLzPMvAgwkrY,Andorra,AD,AND,20,AND,HIC,High income,LNX,Not classified,Europe and Central Asia,ECA,2021-04-11,5,2,4,,,,,,,1,8,8,8,8,,,,,,,5,,,,1,1,1,1,1,1
recpKmJvBgkynruDT,Andorra,AD,AND,20,AND,HIC,High income,LNX,Not classified,Europe and Central Asia,ECA,2021-05-01,6,2,4,4,4,4,4,4,4,1,8,8,8,8,,,,,,,5,,,,1,1,1,1,1,1
recgL1llo1pXHw7cD,Andorra,AD,AND,20,AND,HIC,High income,LNX,Not classified,Europe and Central Asia,ECA,2021-05-20,7,2,4,4,4,4,4,4,4,4,8,8,8,8,,,,,,,5,,,,1,1,1,1,1,1
rec7s2L25QLpyNpem,Andorra,AD,AND,20,AND,HIC,High income,LNX,Not classified,Europe and Central Asia,ECA,2021-06-03,8,2,4,4,4,4,4,4,4,1,8,8,8,8,,,,,,,5,,,,1,1,1,1,1,1
recRF6iAJxOvuDHxU,Andorra,AD,AND,20,AND,HIC,High income,LNX,Not classified,Europe and Central Asia,ECA,2021-06-17,9,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
